"discente","sexo","nota_final","cotista","cep","descricao"
"87936362e6306a097c5816394ccf704b","M",617.7800,t,"59000-000","GRADUAÇÃO"
"c0d831ae9be1360344b2c8c50c73ef71","M",641.0500,t,"59000-000","GRADUAÇÃO"
"","M",581.3800,f,"59000-000","GRADUAÇÃO"
"d3398f799adeac5009ff187e6d5d3022","M",615.9500,f,"59000-000","GRADUAÇÃO"
"32b50e2ce7fc218018d1112a53371cc5","F",630.8800,t,"59000-000","GRADUAÇÃO"
"7b8084ec76d6eab9d7aa47236d4e2f09","M",4.0000,f,"59000-000","GRADUAÇÃO"
"b5ea09232816869131206a96e26c8f25","M",659.4500,f,"59000-000","GRADUAÇÃO"
"d514ea643d2db04d6308c61226d17399","M",659.4500,f,"59000-000","GRADUAÇÃO"
"edc80165500311f561d9dc1792982ff4","F",640.7900,t,"59000-000","GRADUAÇÃO"
"40fce154f214e1cb90493cb7f8a3a998","M",530.2600,f,"59000-000","GRADUAÇÃO"
"bba24f891cf2d00a95ef4f45cda5251b","M",542.0600,f,"59000-000","GRADUAÇÃO"
"5b88dcf1b210f51998e683e5e370857d","F",675.8400,t,"59000-000","GRADUAÇÃO"
"078d11b28ad919a8d88243aa07823ff4","F",678.8800,t,"59000-000","GRADUAÇÃO"
"99037fa6793f7003a9430d7332c75b54","M",602.7800,t,"59000-000","GRADUAÇÃO"
"ba63fdb396e45ffbbefc3f13eafa52b3","F",618.2900,t,"59000-000","GRADUAÇÃO"
"6ca2f864ef62aaee48f292937f3d9419","F",730.4700,t,"59000-000","GRADUAÇÃO"
"bf8069e31ad172d52c637b35be2e3047","F",622.8500,f,"59000-000","GRADUAÇÃO"
"bf8069e31ad172d52c637b35be2e3047","F",622.8500,f,"59000-000","GRADUAÇÃO"
"d68ab9a2d97185077d84a3b095ba92dc","M",692.5400,f,"59000-000","GRADUAÇÃO"
"6b0dcf54d1f28c779a28ad15c7272e12","F",527.8100,t,"59000-000","GRADUAÇÃO"
"","F",4.9000,f,"59000-000","GRADUAÇÃO"
"","M",768.9600,f,"59000-000","GRADUAÇÃO"
"4aa4796b640fd0fe66a4f119eb97872a","F",657.8100,t,"59000-000","GRADUAÇÃO"
"3118b5b5e98d7dab900cdff6b3d1b7eb","M",552.9400,t,"59000-000","GRADUAÇÃO"
"7b6e39de31bd8ed6a99db2da61a0b2d8","M",778.7900,f,"59000-000","GRADUAÇÃO"
"7b6e39de31bd8ed6a99db2da61a0b2d8","M",778.7900,f,"59000-000","GRADUAÇÃO"
"b797e9f3e11a56faffdd3d4d7cac9255","M",734.3900,f,"59000-000","GRADUAÇÃO"
"2e7baa8a5149200bab8a07ddd0e8b701","F",644.6300,f,"59000-000","GRADUAÇÃO"
"3fb89bf9bf207a8272c0f20be1c3ccd5","M",561.9700,t,"59000-000","GRADUAÇÃO"
"ebf47254783583294aeccb39824216ce","M",621.5300,f,"59000-000","GRADUAÇÃO"
"a372cf203edc4eb071b7c6d7725ff709","F",558.9500,f,"59000-000","GRADUAÇÃO"
"","F",3.4700,f,"59000-000","GRADUAÇÃO"
"d3220bc1aa9c52b47a85926756756681","F",660.5200,f,"59000-000","GRADUAÇÃO"
"d0d550113d6c70682ffa807fe5a44a55","M",610.9200,f,"59000-000","GRADUAÇÃO"
"85e4d861e99f6f6d14c63944fdc4f6ff","F",5.6900,f,"59000-000","GRADUAÇÃO"
"870fed48a96c5b72cdd8c1d112e2eed1","M",681.6500,t,"59000-000","GRADUAÇÃO"
